from,to,Δs²,relation,cost
ev_3,ev_81,-6081.339441876089,timelike-irreversible,77.98294327528353
ev_3,ev_82,-6238.446328977151,timelike-irreversible,78.98383587150697
ev_3,ev_83,-6397.554958132087,timelike-irreversible,79.98471702851793
ev_3,ev_84,-6558.66498755339,timelike-irreversible,80.98558506026484
ev_3,ev_85,-6721.776071047793,timelike-irreversible,81.98643833615284
ev_3,ev_86,-6886.887859105526,timelike-irreversible,82.98727528425985
ev_3,ev_87,-7054.0,timelike-irreversible,83.98809439438426
ev_3,ev_88,-7223.112140894475,timelike-irreversible,84.98889422091851
ev_3,ev_89,-7394.223928952207,timelike-irreversible,85.98967338554209
ev_3,ev_90,-7567.33501244661,timelike-irreversible,86.99043057972877
ev_3,ev_91,-7742.445041867913,timelike-irreversible,87.99116456706271
ev_3,ev_92,-7919.55367102285,timelike-irreversible,88.99187418535948
ev_3,ev_93,-8098.66055812391,timelike-irreversible,89.99255834858741
ev_3,ev_94,-8279.76536686473,timelike-irreversible,90.99321604858645
ev_3,ev_95,-8462.867767478234,timelike-irreversible,91.99384635658102
ev_3,ev_96,-8647.96743777421,timelike-irreversible,92.99444842448506
ev_3,ev_97,-8835.064064153032,timelike-irreversible,93.99502148599697
ev_3,ev_98,-9024.15734259236,timelike-irreversible,94.99556485748353
ev_3,ev_99,-9215.246979603717,timelike-irreversible,95.99607793865184
ev_3,ev_100,-9408.332693155904,timelike-irreversible,96.99656021300912
ev_3,ev_101,-9603.414213562373,timelike-irreversible,97.9970112481109
ev_3,ev_102,-9800.491284329768,timelike-irreversible,98.9974306955982
ev_3,ev_103,-9999.563662964936,timelike-irreversible,99.99781829102541
ev_3,ev_104,-10200.631121737919,timelike-irreversible,100.99817385348074
ev_3,ev_105,-10403.693448398457,timelike-irreversible,101.99849728500149
ev_3,ev_106,-10608.750446843816,timelike-irreversible,102.99878856978764
ev_3,ev_107,-10815.801937735805,timelike-irreversible,103.99904777321667
ev_3,ev_108,-11024.847759065024,timelike-irreversible,104.99927504066409
ev_3,ev_109,-11235.887766660617,timelike-irreversible,105.99947059613372
ev_3,ev_110,-11448.92183464389,timelike-irreversible,106.99963474070316
ev_3,ev_111,-11663.949855824363,timelike-irreversible,107.99976785078921
ev_4,ev_5,-0.9968536300356331,timelike-irreversible,0.9984255756117394
ev_4,ev_6,-3.987424419786485,timelike-irreversible,1.996853630035633
ev_4,ev_7,-8.971742037036472,timelike-irreversible,2.995286636874086
ev_4,ev_8,-15.949855824363647,timelike-irreversible,3.993727059322363
ev_4,ev_9,-24.9218346438902,timelike-irreversible,4.992177344995889
ev_4,ev_10,-35.88776666061674,timelike-irreversible,5.990639920794501
ev_4,ev_11,-48.84775906502257,timelike-irreversible,6.989117187815824
ev_4,ev_12,-63.801937735804835,timelike-irreversible,7.9876115163298245
ev_4,ev_13,-80.7504468438175,timelike-irreversible,8.986125240826409
ev_4,ev_14,-99.69344839845657,timelike-irreversible,9.984660655147804
ev_4,ev_15,-120.63112173791852,timelike-irreversible,10.98322000771716
ev_4,ev_16,-143.56366296493607,timelike-irreversible,11.98180549687467
ev_4,ev_17,-168.49128432976633,timelike-irreversible,12.98041926633213
ev_4,ev_18,-195.4142135623731,timelike-irreversible,13.979063400756615
ev_4,ev_19,-224.33269315590402,timelike-irreversible,14.977739921493631
ev_4,ev_20,-255.24697960371748,timelike-irreversible,15.97645078243968
